run,agent_type,agent_id,max_stage,stages_completed,final_win_rate
logs-20250728-8-deck-0.9-run1,dqn,0,7,7,0.45376
logs-20250808-8-deck-0.9-run2,dqn,0,5,5,0.44056
logs-20250809-8-deck-0.9-run3,dqn,0,5,5,0.44802
logs-20250809-8-deck-0.9-run4,dqn,0,7,7,0.4513
logs-20250809-8-deck-0.9-run5,dqn,0,7,7,0.44625
logs-20250809-8-deck-0.9-run6,dqn,0,5,5,0.4524
logs-20250815-8-deck-0.9-run7,dqn,0,7,7,0.43712
logs-20250816-8-deck-0.9-run8,dqn,0,8,8,0.44618
logs-20250816-8-deck-0.9-run9,dqn,0,5,5,0.45326
logs-20250817-8-deck-0.9-run10,dqn,0,7,7,0.32988
logs-20250728-8-deck-0.9-run1,tabular,1,7,7,0.37902
logs-20250808-8-deck-0.9-run2,tabular,1,5,5,0.37555
logs-20250809-8-deck-0.9-run3,tabular,1,5,5,0.37783
logs-20250809-8-deck-0.9-run4,tabular,1,7,7,0.37482
logs-20250809-8-deck-0.9-run5,tabular,1,7,7,0.39417
logs-20250809-8-deck-0.9-run6,tabular,1,5,5,0.37815
logs-20250815-8-deck-0.9-run7,tabular,1,7,7,0.38178
logs-20250816-8-deck-0.9-run8,tabular,1,8,8,0.3514
logs-20250816-8-deck-0.9-run9,tabular,1,5,5,0.36332
logs-20250817-8-deck-0.9-run10,tabular,1,7,7,0.37753
